"Domain","Site Rank","Year online","Name","Media Bias/Fact Check","MBFC Fact","MBFC Bias","MisinfoMe","Wikipedia","Lang","URL","MBFC cred","",""
"100percentfedup.com","72284","2012","100 Percent Fed Up","https://mediabiasfactcheck.com/100-percent-fed-up/","L","FN","-0.9","","en","https://100percentfedup.com/","L","",""
"10news.one","30000000","2017","10News.one","https://mediabiasfactcheck.com/10news-one/","L","FN","0.0","","en","https://www.10news.one/","L","",""
"12minutos.com","276039","2008","12minutos.com","https://mediabiasfactcheck.com/12minutos-com/","L","FN","-1.0","","es","https://www.12minutos.com/","L","",""
"163.com","309","1997","NetEase","https://mediabiasfactcheck.com/netease-163-com-bias/","M","FN","0.2","https://en.wikipedia.org/wiki/NetEase","zh","https://www.163.com/","L","",""
"1tv.ru","2598","2002","Channel One Russia","https://mediabiasfactcheck.com/channel-one-russia-bias/","M","FN","0.3","https://en.wikipedia.org/wiki/Channel_One_Russia","ru","https://www.1tv.ru/","L","",""
"2020conservative.com","2757810","2019","2020 Conservative","https://mediabiasfactcheck.com/2020-conservative-bias/","VL","FN","","","en","https://2020conservative.com/","L","",""
"2020electioncenter.com","4494303","2020","Banned.Video","https://mediabiasfactcheck.com/2020electioncenter-com-bias/","VL","CP","0.6","","en","https://2020electioncenter.com/","L","",""
"21stcenturywire.com","1161239","2009","21st Century Wire","https://mediabiasfactcheck.com/21st-century-wire/","M","CP","-0.9","","en","https://21stcenturywire.com/","L","",""
"24jours.com","1162979","2017","24jours.com","https://mediabiasfactcheck.com/24jours-com/","L","FN","0.3","","fr","https://www.24jours.com/","L","",""
"369news.net","30000000","2015","369 News","https://mediabiasfactcheck.com/369news/","M","CP","0.0","","en","https://369news.net/","L","",""
"4chan.org","973","2004","4Chan","https://mediabiasfactcheck.com/4chan-bias/","VL","FN","0.7","https://en.wikipedia.org/wiki/4chan","en","https://4chan.org/","L","",""
"79days.news","12257439","2020","Banned.video","https://mediabiasfactcheck.com/79days-news/","VL","CP","-1.0","","en","https://79days.news/","L","",""
"911truth.org","2467443","2003","911Truth.org","https://mediabiasfactcheck.com/911truth-org/","L","CP","0.4","","en","https://911truth.org/","L","",""
"aapsonline.org","2188912","1998","Association of American Physicians and Surgeons","https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/","L","FN","-0.6","https://en.wikipedia.org/wiki/Association_of_American_Physicians_and_Surgeons","en","https://aapsonline.org/","L","",""
"aattp.org","6395547","2011","Americans Against the Tea Party","https://mediabiasfactcheck.com/americans-against-the-tea-party-aattp/","L","FN","-0.4","","en","https://aattp.org/","L","",""
"abcbusinessnews.com","30000000","2007","Experience Awareness","https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/","VL","FN","0.0","","en","https://abcbusinessnews.com/","L","",""
"abovetopsecret.com","77396","1997","Above Top Secret","https://mediabiasfactcheck.com/above-top-secret/","L","CP","0.2","","en","https://www.abovetopsecret.com/","L","",""
"abqtimes.com","16148399","2019","ABQ Times","https://mediabiasfactcheck.com/abq-times-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://abqtimes.com/","L","",""
"acallforanuprising.com","369828","2015","A Call for an Uprising","https://mediabiasfactcheck.com/a-call-for-an-uprising/","L","CP","-0.6","","en","https://www.acallforanuprising.com/","L","",""
"acpeds.org","1438327","2002","American College of Pediatricians","https://mediabiasfactcheck.com/american-college-of-pediatricians/","L","FN","0.0","https://en.wikipedia.org/wiki/American_College_of_Pediatricians","en","https://acpeds.org/","L","",""
"acting-man.com","13939268","2005","Acting Man","https://mediabiasfactcheck.com/acting-man/","M","FN","-0.1","","en","https://acting-man.com/","L","",""
"actionnews3.com","30000000","2015","Action News 3","https://mediabiasfactcheck.com/action-news-3/","VL","FN","-0.9","","en","https://actionnews3.com/","L","",""
"activistpost.com","314413","2010","Activist Post","https://mediabiasfactcheck.com/activist-post/","L","CP","-0.8","","en","https://www.activistpost.com/","L","",""
"adamscountytimes.com","30000000","2019","Adams County Times","https://mediabiasfactcheck.com/adams-county-times/","M","FN","-0.4","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://adamscountytimes.com/","L","",""
"adareporter.com","30000000","2019","Ada Reporter","https://mediabiasfactcheck.com/ada-reporter/","M","FN","-0.4","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://adareporter.com/","L","",""
"adflegal.org","235081","2011","Alliance Defending Freedom","https://mediabiasfactcheck.com/alliance-defending-freedom/","L","FN","0.0","https://en.wikipedia.org/wiki/Alliance_Defending_Freedom","en","https://adflegal.org/","L","",""
"ae911truth.org","1442747","2006","Architects & Engineers for 9/11 Truth","https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/","M","CP","-0.5","https://en.wikipedia.org/wiki/Architects_%26_Engineers_for_9/11_Truth","en","https://www.ae911truth.org/","L","",""
"afa.net","399130","1996","American Family Association","https://mediabiasfactcheck.com/american-family-association/","L","FN","-0.7","https://en.wikipedia.org/wiki/American_Family_Association","en","https://afa.net/","L","",""
"aflegal.org","380165","2021","America First Legal","https://mediabiasfactcheck.com/america-first-legal-afl-bias-and-credibility/","L","FN","0.0","","en","https://aflegal.org/","L","",""
"afn.net","463733","1997","American Family News","https://mediabiasfactcheck.com/onenewsnow/","L","FN","","https://en.wikipedia.org/wiki/American_Family_Association","en","https://afn.net/","L","",""
"africanexponent.com","6281555","2015","The African Exponent","https://mediabiasfactcheck.com/the-african-exponent/","M","FN","","","en","https://www.africanexponent.com/","L","",""
"aguascalientesdailypost.com","30000000","2020","Aguascalientes Daily Post","https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/","M","FN","","","en","https://aguascalientesdailypost.com/","L","",""
"aim4truth.org","2680058","2017","American Intelligence Media","https://mediabiasfactcheck.com/american-intelligence-media/","VL","CP","0.0","","en","https://aim4truth.org/","L","",""
"akronreporter.com","30000000","","Akron Reporter","https://mediabiasfactcheck.com/akron-reporter-bias/","M","FN","-1.0","https://en.wikipedia.org/wiki/Brian_Timpone","en","https://akronreporter.com/","L","",""
